NUMBER,NAME,RATING,STARTER
27-PP-819,ACTIFLOW DISCHARGE PUMP,90,DOL
27-PP-809,TRAIN 2 CARBON TRANSFER PUMP,30,DOL
27-PP-803,TRAIN 1 CARBON TRANSFER PUMP,30,DOL
23-PP-353,PLANT RUNOFF PUMP,75,DOL
27-PP-842,RBC FEED PUMP 2,37,DOL
27-PP-845,RBC FEED PUMP 1,37,DOL
23-PP-358,PLANT RUNOFF PUMP,37,DOL
27-PP-847,RBC DISPATCH HOPPER TRANSFER,45,DOL
27-PP-818,ACTIFLOW FEED PUMP 2,55,DOL
17-PP-140,PROC WATER DAM 1B TRANSFER PUMP 2,132,DOL
27-CP-804,RBC BLOWER DUTY,110,DOL
27-CP-805,RBC BLOWER STANDBY,110,DOL
27-CP-801,RBC BLOWER,75,DOL
27-PP-810,RBC FEED PUMP 1,90,DOL
27-PP-811,RBC FEED PUMP 2,90,DOL
27-PP-817,ACTIFLOW FEED PUMP 1,55,DOL
27-PP-820,ACTIFLOW DISCHARGE PUMP B,90,DOL
27-PP-352,POND # 2,37,DOL
27-RBC-822,RBC CONTRACTOR 4,5,DOL
27-RBC-851,RBC CONTRACTOR 9,5,DOL
27-RBC-842,RBC CONTRACTOR 8,5,DOL
27-RBC-841,RBC CONTRACTOR 7,5,DOL
27-RBC-832,RBC CONTRACTOR 6,5,DOL
27-RBC-831,RBC CONTRACTOR5,5,DOL
27-RBC-872,RBC CONTRACTOR 14,5,DOL
27-RBC-871,RBC CONTRACTOR 13,5,DOL
27-RBC-862,RBC CONTRACTOR 12,5,DOL
27-RBC-861,RBC CONTRACTOR 11,5,DOL
27-RBC-252,RBC CONTRACTOR 10,5,DOL
27-RBC-881,RBC CONTRACTOR 15,5,DOL
27-RBC-882,RBC CONTRACTOR 16,5,DOL
27-PP-816,RBC AREA SUMP PUMP,22,DOL
27-PP-814,RBC NUTRIENTS FEED 1,7.5,DOL
27-PP-813,RBC RECIRCULATION PUMP 2,7.5,DOL
27-PP-812,RBC RECIRCULATION PUMP 1,7.5,DOL
27-PP-850,RBC NUTRIENTS TK2 FEED PUMP 2,5.5,DOL
27-PP-849,RBC NUTRIENTS TK2 FEED PUMP 1,5.5,DOL
27-PP-815,RBC NUTREIENTS FEED PUMP 2,7.5,DOL
27-PP-853,EFFLUENT TANK TRANSFER PUMP,7.5,DOL
17-PP-139,PROC WATER DAM 1B TRF. PUMP 1,132,DOL
27-PP-831,KITP. AREA SUMP PUMP,22,DOL
27-PP-802,CIS AREA SUMP PUMP,15,DOL
17-RBC-811,RBC CONTRACTOR 1,5,DOL
27-RBC-813,RBC CONTRACTOR 2,5,DOL
27-RBC-821,RBC CONTRACTOR 3,5,DOL
27-EQ-003,EQUIPPED SPARE,7.5,DOL
11-PP-515,CRUSHER SHED SUMP PUMP,22,DOL
16-CP-25,LIME DELIVERY BLOWER,75,DOL
16-ML-05B,LIME STONE MILL,55,DOL
16-ML-05C,LIME STONE MILL,55,DOL
16-AT-001,LIME SILO ACTIVATOR,1.1,DOL
16-PP-139,LIMESTONE TRANSFER PUMP,11,DOL
16-ML-05A,LIME STONE MILL,55,DOL
16-ML-05D,LIME STONE MILL,55,DOL
23-PP-054,NEUT. AREA SUMP PUMP,22,DOL
16-PP-033,LIME STONE AREA SUMP PUMP,15,DOL
16-ML-04B,LIME SLAKING MILL 04B,37,DOL
16-ML-04D,LIME SLAKING MILL 04D,37,DOL
16-PP-137,LIME SLURRY TRANSFER PUMP,15,DOL
16-PP-138,LIME SLURRY TRANSFER PUMP,5.5,DOL
16-ML-04A,LIME SLAKING MILL,37,DOL
16-ML-04C,LIME SLAKING MILL,37,DOL
16-PP-224,LIME SLURRY TRF PUMP,22,DOL
16-PP-225,LIME SLURRY TRF PUMP,22,DOL
16-PP-135,LIME SLURRY TRANSFER PUMP,15,DOL
16-PP-130,LIME STONE AREA SUMP PUMP,11,DOL
16-AG-061,LIME STONE ST. TANK AGITATOR,15,DOL
16-EQ-006,SCRUBBER,22,DOL
16-AG-062,LIME STONE ST. TANK AGITATOR,30,DOL
23-PP-295,NEUT. RECIRCULATION PUMP,37,DOL
16-EQ-07,EQUIPPED SPARE,30,DOL
