,NUMBER,NAME,RATING,STARTER,FUNCTION,AREA
605,20-FA-002,FURNACE AND FLUX MIXING EXHAUST FAN,30.5,DOL,FAN,ELUTION/GOLDROOM
606,13-PP-003,PREGNANT ELUATE PUMP NO. 1,5.5,DOL,PUMP,BIOX
607,15-PP-075B,STRIP SOLUTIONS PUMP 2,22.0,VSD,PUMP,ELUTION/GOLDROOM
608,16-PP-042,CAUSTIC SPILLAGE PUMP,3.0,DOL,PUMP,REAGENTS
609,16-PP-074,CAUSTIC DOSING PUMP 5,3.0,DOL,PUMP,REAGENTS
610,15-PP-010,CARBON TRANSFER PUMP NO. 1,22.0,DOL,PUMP,ELUTION/GOLDROOM
611,15-PP-008,BARREN SOLUTION PUMP 2,5.5,DOL,PUMP,ELUTION/GOLDROOM
612,15-PP-007,BARREN SOLUTION PUMP 1,5.5,DOL,PUMP,ELUTION/GOLDROOM
613,15-PP-004,ILR PREGNANT SOLUTION PUMP,3.0,DOL,PUMP,ELUTION/GOLDROOM
614,15-PP-015,REGENERATION AREA SUMP PUMP,7.5,DOL,PUMP,ELUTION/GOLDROOM
615,19-PP-019,CIL ACID AREA SUMP PUMP 2,5.5,DOL,PUMP,CIL
616,15-PP-012,DESCRIPTION AREA SUMP PUMP,7.5,DOL,PUMP,ELUTION/GOLDROOM
617,16-PP-073,CAUSTIC DOZING PUMP 4,3.0,DOL,PUMP,REAGENTS
618,23-PP-021A,NEUTRALIZATION TAILS PUMP 2,315.0,VSD,PUMP,BIOX
619,20-PP-601,BARREN TANK AREA SPILLAGE PUMP,7.5,DOL,PUMP,ELUTION/GOLDROOM
