,NUMBER,NAME,RATING,STARTER,FUNCTION,AREA
140,23-PP-163,TRAIN REACTOR AREA SUMP PUMP,15.0,DOL,PUMP,BIOX
141,23-PP-053,CCD # 4 UNDERFLOW PUMP,15.0,VSD,PUMP,BIOX
142,23-PP-268,CCD # 4 UNDERFLOW PUMP,15.0,VSD,PUMP,BIOX
143,16-EQ-003,EQUIPPED SPARE,11.0,DOL,EQUIPED SPARE,REAGENTS
144,23-PP-197,NEAT AREA EXT SUMP PUMP,22.0,DOL,PUMP,BIOX
145,16-EQ-001,FILTER METER,5.5,DOL,EQUIPED SPARE,REAGENTS
146,16-EQ-002,SILO VIBRATOR (SHED),5.5,DOL,EQUIPED SPARE,REAGENTS
148,16-PP-198,LIME SLURRY TO NEW OIL PUMP,22.0,DOL,PUMP,REAGENTS
149,16-PP-133,LIMESTONE MILL DISGHARGE  PUMP,22.0,VSD,PUMP,REAGENTS
151,16-EE-06,LIME FEEDEER,4.0,VSD,OTHER,REAGENTS
152,16-FE-02,LIME SCREEW FEEDER,3.0,VSD,FEEDER,REAGENTS
153,16-PP-132,LIME TRANSFER PUMP 2 TO SURGE,30.0,VSD,PUMP,REAGENTS
154,16-PP-134,LIMESTONE MILL DISCHARGE PUMP ,22.0,VSD,PUMP,REAGENTS
155,27-PP-819,ACTIFLOW DISCHARGE PUMP,90.0,DOL,PUMP,WTP
156,27-PP-809,TRAIN 2 CARBON TRANSFER PUMP,30.0,DOL,PUMP,WTP
157,27-PP-803,TRAIN 1 CARBON TRANSFER PUMP,30.0,DOL,PUMP,WTP
158,23-PP-353,PLANT RUNOFF PUMP,75.0,DOL,PUMP,BIOX
159,27-PP-842,RBC FEED PUMP 2,37.0,DOL,PUMP,WTP
160,27-PP-845,RBC FEED PUMP 1,37.0,DOL,PUMP,WTP
161,23-PP-358,PLANT RUNOFF PUMP,37.0,DOL,PUMP,BIOX
162,27-PP-847,RBC DISPATCH HOPPER TRANSFER,45.0,DOL,PUMP,WTP
163,27-PP-818,ACTIFLOW FEED PUMP 2,55.0,DOL,PUMP,WTP
164,17-PP-140,PROC WATER DAM 1B TRANSFER PUMP 2,132.0,DOL,PUMP,TSF
165,27-CP-804,RBC BLOWER DUTY,110.0,DOL,BLOWERS,WTP
166,27-CP-805,RBC BLOWER STANDBY,110.0,DOL,BLOWERS,WTP
167,27-CP-801,RBC BLOWER,75.0,DOL,BLOWERS,WTP
168,27-PP-810,RBC FEED PUMP 1,90.0,DOL,PUMP,WTP
169,27-PP-811,RBC FEED PUMP 2,90.0,DOL,PUMP,WTP
170,27-PP-817,ACTIFLOW FEED PUMP 1,55.0,DOL,PUMP,WTP
171,27-PP-820,ACTIFLOW DISCHARGE PUMP B,90.0,DOL,PUMP,WTP
172,27-PP-352,POND # 2,37.0,DOL,PUMP,WTP
173,27-RBC-822,RBC CONTRACTOR 4,5.0,DOL,RBC,WTP
174,27-RBC-851,RBC CONTRACTOR 9,5.0,DOL,RBC,WTP
175,27-RBC-842,RBC CONTRACTOR 8,5.0,DOL,RBC,WTP
176,27-RBC-841,RBC CONTRACTOR 7,5.0,DOL,RBC,WTP
177,27-RBC-832,RBC CONTRACTOR 6,5.0,DOL,RBC,WTP
178,27-RBC-831,RBC CONTRACTOR5,5.0,DOL,RBC,WTP
179,27-RBC-872,RBC CONTRACTOR 14,5.0,DOL,RBC,WTP
180,27-RBC-871,RBC CONTRACTOR 13,5.0,DOL,RBC,WTP
181,27-RBC-862,RBC CONTRACTOR 12,5.0,DOL,RBC,WTP
182,27-RBC-861,RBC CONTRACTOR 11,5.0,DOL,RBC,WTP
183,27-RBC-252,RBC CONTRACTOR 10,5.0,DOL,RBC,WTP
184,27-RBC-881,RBC CONTRACTOR 15,5.0,DOL,RBC,WTP
185,27-RBC-882,RBC CONTRACTOR 16,5.0,DOL,RBC,WTP
186,27-PP-816,RBC AREA SUMP PUMP,22.0,DOL,PUMP,WTP
187,27-PP-814,RBC NUTRIENTS FEED 1,7.5,DOL,PUMP,WTP
188,27-PP-813,RBC RECIRCULATION PUMP 2,7.5,DOL,PUMP,WTP
189,27-PP-812,RBC RECIRCULATION PUMP 1,7.5,DOL,PUMP,WTP
190,27-PP-850,RBC NUTRIENTS TK2 FEED PUMP 2,5.5,DOL,PUMP,WTP
191,27-PP-849,RBC NUTRIENTS TK2 FEED PUMP 1,5.5,DOL,PUMP,WTP
192,27-PP-815,RBC NUTREIENTS FEED PUMP 2,7.5,DOL,PUMP,WTP
193,27-PP-853,EFFLUENT TANK TRANSFER PUMP,7.5,DOL,PUMP,WTP
194,17-PP-139,PROC WATER DAM 1B TRF. PUMP 1,132.0,DOL,PUMP,TSF
195,27-PP-831,KITP. AREA SUMP PUMP,22.0,DOL,PUMP,WTP
196,27-PP-802,CIS AREA SUMP PUMP,15.0,DOL,PUMP,WTP
197,17-RBC-811,RBC CONTRACTOR 1,5.0,DOL,RBC,TSF
198,27-RBC-813,RBC CONTRACTOR 2,5.0,DOL,RBC,WTP
199,27-RBC-821,RBC CONTRACTOR 3,5.0,DOL,RBC,WTP
200,27-EQ-003,EQUIPPED SPARE,7.5,DOL,EQUIPED SPARE,WTP
201,11-PP-515,CRUSHER SHED SUMP PUMP,22.0,DOL,PUMP,CRUSHER/MILLING
202,16-CP-25,LIME DELIVERY BLOWER,75.0,DOL,BLOWERS,REAGENTS
203,16-ML-05B,LIME STONE MILL,55.0,DOL,MILL,REAGENTS
204,16-ML-05C,LIME STONE MILL,55.0,DOL,MILL,REAGENTS
205,16-AT-001,LIME SILO ACTIVATOR,1.1,DOL,OTHER,REAGENTS
206,16-PP-139,LIMESTONE TRANSFER PUMP,11.0,DOL,PUMP,REAGENTS
207,16-ML-05A,LIME STONE MILL,55.0,DOL,MILL,REAGENTS
208,16-ML-05D,LIME STONE MILL,55.0,DOL,MILL,REAGENTS
209,23-PP-054,NEUT. AREA SUMP PUMP,22.0,DOL,PUMP,BIOX
210,16-PP-033,LIME STONE AREA SUMP PUMP,15.0,DOL,PUMP,REAGENTS
211,16-ML-04B,LIME SLAKING MILL 04B,37.0,DOL,MILL,REAGENTS
212,16-ML-04D,LIME SLAKING MILL 04D,37.0,DOL,MILL,REAGENTS
213,16-PP-137,LIME SLURRY TRANSFER PUMP,15.0,DOL,PUMP,REAGENTS
214,16-PP-138,LIME SLURRY TRANSFER PUMP,5.5,DOL,PUMP,REAGENTS
215,16-ML-04A,LIME SLAKING MILL,37.0,DOL,MILL,REAGENTS
216,16-ML-04C,LIME SLAKING MILL,37.0,DOL,MILL,REAGENTS
217,16-PP-224,LIME SLURRY TRF PUMP,22.0,DOL,PUMP,REAGENTS
218,16-PP-225,LIME SLURRY TRF PUMP,22.0,DOL,PUMP,REAGENTS
219,16-PP-135,LIME SLURRY TRANSFER PUMP,15.0,DOL,PUMP,REAGENTS
220,16-PP-130,LIME STONE AREA SUMP PUMP,11.0,DOL,PUMP,REAGENTS
221,16-AG-061,LIME STONE ST. TANK AGITATOR,15.0,DOL,AGITATOR,REAGENTS
222,16-EQ-006,SCRUBBER,22.0,DOL,EQUIPED SPARE,REAGENTS
223,16-AG-062,LIME STONE ST. TANK AGITATOR,30.0,DOL,AGITATOR,REAGENTS
224,23-PP-295,NEUT. RECIRCULATION PUMP,37.0,DOL,PUMP,BIOX
225,16-EQ-07,EQUIPPED SPARE,30.0,DOL,EQUIPED SPARE,REAGENTS
226,23-PP-065,NEUT. RECIRCULATION PUMP,37.0,DOL,PUMP,BIOX
227,16-PP-197,LIME SLURRY TRANSFER PUMP TO CIL,22.0,DOL,PUMP,REAGENTS
228,23-PP-295,TK42 CIRCULATION PUMP,11.0,DOL,PUMP,BIOX
229,16-PP-221,EQUIPPED SPARE,22.0,DOL,PUMP,REAGENTS
230,27-EQ-001,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,WTP
231,27-EQ-004,EQUIPPED SPARE,7.5,DOL,EQUIPED SPARE,WTP
232,11-EQ-001,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,CRUSHER/MILLING
233,27-EQ-006,EQUIPPED SPARE,22.0,DOL,EQUIPED SPARE,WTP
234,27-EQ-005,EQUIPPED SPARE,11.0,DOL,EQUIPED SPARE,WTP
235,27-EQ-002,EQUIPPED UBMERSIBLE PUMP,5.5,DOL,EQUIPED SPARE,WTP
236,27-EQ-010,EQUIPPED SPARE,45.0,DOL,EQUIPED SPARE,WTP
237,27-EQ-008,EQUIPPED SPARE,30.0,DOL,EQUIPED SPARE,WTP
238,23-PP-352,EFFLUENT SUMP PUMP,75.0,DOL,PUMP,BIOX
239,08-PP-05,FRONTER DOZING PUMP 1,0.024,DOL,PUMP,BACKFILL
240,08-PP-06,FRONTER DOZING PUMP 2,0.024,DOL,PUMP,BACKFILL
241,08-PP-07,FRONTER DOZING PUMP 3,0.024,DOL,PUMP,BACKFILL
242,08-PP-08,FRONTER DOZING PUMP 4,0.024,DOL,PUMP,BACKFILL
243,08-PP-09,PROMOTER DOZING PUMP 1,0.55,DOL,PUMP,BACKFILL
244,08-PP-10,PROMOTER DOZING PUMP 2,0.55,DOL,PUMP,BACKFILL
245,18-AG-01,FLOATATION FEED SURGE TANK AGITATOR,30.0,DOL,AGITATOR,FLOATATION
246,18-AG-02,FLOATATION CONDITIONER TANK AGITATOR,30.0,DOL,AGITATOR,FLOATATION
247,18-PP-16,FLOATATION FEED SURGE AREA SUMP PUMP,7.5,DOL,PUMP,FLOATATION
249,18-PP-11,PROMOTER DOZING PUMP 3,0.55,DOL,PUMP,FLOATATION
250,18-PP-12,PROMOTER DOZING PUMP 4,0.055,DOL,PUMP,FLOATATION
251,18-AG-03,ROUGLER FLOATATION 1 AGITATOR,225.0,SS,AGITATOR,FLOATATION
252,18-AG-04,ROUGLER FLOATATION 2 AGITATOR,225.0,SS,AGITATOR,FLOATATION
253,18-AG-05,ROUGLER FLOATATION 3 AGITATOR,225.0,SS,AGITATOR,FLOATATION
254,18-AG-06,SCAVANGER FLOATATION CELL 1 AGITATOR,225.0,SS,AGITATOR,FLOATATION
255,18-AG-07,SCAVANGER FLOATATION CELL 2 AGITATOR,225.0,SS,AGITATOR,FLOATATION
256,18-AG-08,SCAVANGER FLOATATION CELL 3 AGITATOR,225.0,SS,AGITATOR,FLOATATION
257,18-AG-09,SCAVANGER FLOATATION CELL 4 AGITATOR,225.0,SS,AGITATOR,FLOATATION
258,19-PP-07,CIL INTERSTAGE CARBON PUMP,30.0,VSD,PUMP,CIL
259,19-PP-09,CIL TAILING PUMP 1,30.0,VSD,PUMP,CIL
260,19-PP-10,CIL TAILING PUMP 2,30.0,VSD,PUMP,CIL
261,19-AG-01,PRE-OXIDATION TANK 1 AGITATION ,55.0,DOL,AGITATOR,CIL
262,19-PP-12,CIL ACID WASH PUMP,5.5,DOL,PUMP,CIL
263,19-PP-13,CIL TRANSFER PUMP 1,11.0,VSD,PUMP,CIL
264,19-PP-15,CIL PULP TRANSFER PUMP,7.5,DOL,PUMP,CIL
265,19-AG-02,PRE-OXIDATION TANK 2 AGITATOR,55.0,DOL,AGITATOR,CIL
266,19-AG-03,PRE-OXIDATION TANK 3 AGITATOR,55.0,DOL,AGITATOR,CIL
267,19-PC-05,TEMPORARY TOWER CRANE,7.5,DOL,OTHER,CIL
269,19-PP-17,CIL AREA SUMP PUMP 2,11.0,DOL,PUMP,CIL
270,19-PP-18,CIL PREOXIDATION AREA SUMP PUMP,11.0,DOL,PUMP,CIL
271,19-PP-19,CIL ACID AREA SUMP PUMP,5.5,DOL,PUMP,CIL
272,19-AG-04,CIL TANK 1 AGITATOR,55.0,DOL,AGITATOR,CIL
275,19-AG-05,CIL TANK 2 AGITATOR,55.0,DOL,AGITATOR,CIL
278,19-AG-06,CIL TANK 3 AGITATOR,55.0,DOL,AGITATOR,CIL
279,19-SC-01A & 01B,CIL LOADED CARBON SCREEN,3.74,DOL,SCREEN,CIL
280,19-PP-01,CIL INTERSTAGE CARBON PUMP 1,7.5,DOL,PUMP,CIL
281,19-PP-02,CIL INTERSTAGE CARBON PUMP 2,7.5,DOL,PUMP,CIL
282,19-AG-07,CIL TANK 4 AGITATOR,55.0,DOL,AGITATOR,CIL
283,19-SC-02A & 02B,CIL CARBON SAFETY SCREEN 1,3.74,DOL,SCREEN,CIL
284,19-PP-03,CIL INTERSTAGE CARBON PUMP 3,7.4,DOL,PUMP,CIL
285,19-PP-04,CIL INTERSTAGE CARBON PUMP 4,7.5,DOL,PUMP,CIL
286,19-AG-08,CIL TANK 5 AGITATOR,55.0,DOL,AGITATOR,CIL
287,19-SC-03A & 02B,CIL TAILING CARBON SAFETY SCREEN,3.74,DOL,SCREEN,CIL
288,19-PP-05,CIL INTERSTAGE CARBON PUMP 5,7.5,DOL,PUMP,CIL
289,19-PP-06,CIL INTERSTAGE CARBON PUMP 5,7.5,DOL,PUMP,CIL
290,19-AG-09,CIL TANK 6 AGITATOR,55.0,DOL,AGITATOR,CIL
291,19-SC 04,CIL INTERSTAGE SCREEN 1,5.5,DOL,SCREEN,CIL
292,19-SC 05,CIL INTERSTAGE SCREEN 2,5.5,DOL,SCREEN,CIL
293,19-SC 06,CIL INTERSTAGE SCREEN 3,5.5,DOL,SCREEN,CIL
294,19-SC 07,CIL INTERSTAGE SCREEN 4,5.5,DOL,SCREEN,CIL
295,19-SC 08,CIL INTERSTAGE SCREEN 5,5.5,DOL,SCREEN,CIL
296,19-SC 09,CIL INTERSTAGE SCREEN 6,5.5,DOL,SCREEN,CIL
297,19-SC 10,CIL INTERSTAGE SCREEN 7,11.0,DOL,SCREEN,CIL
298,19-SC 11,CIL INTERSTAGE SCREEN 8,11.0,DOL,SCREEN,CIL
299,19-AG-10,CIL TANK 7 AGITATOR,55.0,DOL,AGITATOR,CIL
300,19-AG-11,CIL TANK 8 AGITATOR,55.0,DOL,AGITATOR,CIL
301,19-SC-12,CIL BARREA CARBON SCREEN 1,1.87,DOL,SCREEN,CIL
302,19-SC-13,CIL BARREA CARBON SCREEN 2,1.87,DOL,SCREEN,CIL
303,16-AG-55,DEPRESSANT MIXING & STORAGE TANK AGITATOR ,2.2,DOL,AGITATOR,REAGENTS
304,16-AG-56,COLLECTOR MIXING AND STORAGE TANK AGITATOR,2.2,DOL,AGITATOR,REAGENTS
305,16-AG-57,PROMOTER MIXING AND STORAGE AGITATOR,2.2,DOL,AGITATOR,REAGENTS
306,16-AG-60,COPPER SULPHATE MIXING AND STORAGE TANK AGITATOR,2.2,DOL,AGITATOR,REAGENTS
307,16-AG-65,DEPRESSANT MIXING & STORAGE TANK AGITATOR ,2.2,DOL,AGITATOR,REAGENTS
308,16-AG-87,PROMOTER MIXING AND STORAGE AGITATOR,2.2,DOL,AGITATOR,REAGENTS
309,16-AG-88,COPPER SULPHATE MIXING AND STORAGE TANK AGITATOR,2.2,DOL,AGITATOR,REAGENTS
310,16-AG-104,MASH MIXING TANK AGITATOR No 1,2.2,DOL,AGITATOR,REAGENTS
311,16-AG-40,INOCULIUM BUILD UP TANK AGITATOR,0.7,DOL,AGITATOR,REAGENTS
312,12-FA-10,SAG MILL EXTERNAL AIR FAN,11.0,DOL,FAN,CRUSHER/MILLING
313,12-FA-11,SAG MILL EXTERNAL AIR FAN,11.0,DOL,FAN,CRUSHER/MILLING
314,13-TH-02,CONCENTRATE THICKNER AIR FAN,5.5,DOL,THICKENER,BIOX
315,12-FA-13,MILL SLIP RING AIR FAN ,1.5,DOL,FAN,CRUSHER/MILLING
316,12-FA-14,BALL MILL EXTERNAL AIR FAN,11.0,DOL,FAN,CRUSHER/MILLING
317,12-FA-15,BALL MILL EXTERNAL AIR FAN,11.0,DOL,FAN,CRUSHER/MILLING
